CROP TYPE,SOIL TYPE,REGION,TEMPERATURE,WEATHER CONDITION,WATER REQUIREMENT
SOYABEAN,HUMID,Western Himalayan Region,20-30,RAINY,0.1
SOYABEAN,HUMID,Western Himalayan Region,30-40,NORMAL,5.8
SOYABEAN,HUMID,Western Himalayan Region,30-40,SUNNY,7.3
SOYABEAN,HUMID,Western Himalayan Region,30-40,WINDY,6.8
SOYABEAN,HUMID,Western Himalayan Region,30-40,RAINY,0.3
SOYABEAN,HUMID,Western Himalayan Region,40-50,NORMAL,6.7
SOYABEAN,HUMID,Western Himalayan Region,40-50,SUNNY,8.2
SOYABEAN,HUMID,Western Himalayan Region,40-50,WINDY,7.7
SOYABEAN,HUMID,Western Himalayan Region,40-50,RAINY,0.4
SOYABEAN,WET,Western Himalayan Region,10-20,NORMAL,2.6
SOYABEAN,WET,Western Himalayan Region,10-20,SUNNY,4.1
SOYABEAN,WET,Western Himalayan Region,10-20,WINDY,3.6
SOYABEAN,WET,Western Himalayan Region,10-20,RAINY,0.1
SOYABEAN,WET,Western Himalayan Region,20-30,NORMAL,3.6
SOYABEAN,WET,Western Himalayan Region,20-30,SUNNY,5.1
SOYABEAN,WET,Western Himalayan Region,20-30,WINDY,4.6
SOYABEAN,WET,Western Himalayan Region,20-30,RAINY,0.1
SOYABEAN,WET,Western Himalayan Region,30-40,NORMAL,4.7
SOYABEAN,WET,Western Himalayan Region,30-40,SUNNY,6.2
SOYABEAN,WET,Western Himalayan Region,30-40,WINDY,5.7
SOYABEAN,WET,Western Himalayan Region,30-40,RAINY,0.1
SOYABEAN,WET,Western Himalayan Region,40-50,NORMAL,5.6
SOYABEAN,WET,Western Himalayan Region,40-50,SUNNY,7.1
SOYABEAN,WET,Western Himalayan Region,40-50,WINDY,6.6
SOYABEAN,WET,Western Himalayan Region,40-50,RAINY,0.3
CABBAGE,DRY,Western Himalayan Region,10-20,NORMAL,4.4
CABBAGE,DRY,Western Himalayan Region,10-20,SUNNY,5.9
CABBAGE,DRY,Western Himalayan Region,10-20,WINDY,5.5
CABBAGE,DRY,Western Himalayan Region,10-20,RAINY,0.2
CABBAGE,DRY,Western Himalayan Region,20-30,NORMAL,5.3
CABBAGE,DRY,Western Himalayan Region,20-30,SUNNY,6.8
CABBAGE,DRY,Western Himalayan Region,20-30,WINDY,6.3
CABBAGE,DRY,Western Himalayan Region,20-30,RAINY,0.3
CABBAGE,DRY,Western Himalayan Region,30-40,NORMAL,6.2
CABBAGE,DRY,Western Himalayan Region,30-40,SUNNY,7.7
CABBAGE,DRY,Western Himalayan Region,30-40,WINDY,7.2
CABBAGE,DRY,Western Himalayan Region,30-40,RAINY,0.5
CABBAGE,DRY,Western Himalayan Region,40-50,NORMAL,7.5
CABBAGE,DRY,Western Himalayan Region,40-50,SUNNY,9.0
CABBAGE,DRY,Western Himalayan Region,40-50,WINDY,8.5
CABBAGE,DRY,Western Himalayan Region,40-50,RAINY,0.8
CABBAGE,HUMID,Western Himalayan Region,10-20,NORMAL,3.1
CABBAGE,HUMID,Western Himalayan Region,10-20,SUNNY,4.6
CABBAGE,HUMID,Western Himalayan Region,10-20,WINDY,4.1
CABBAGE,HUMID,Western Himalayan Region,10-20,RAINY,0.1
CABBAGE,HUMID,Western Himalayan Region,20-30,NORMAL,4.2
CABBAGE,HUMID,Western Himalayan Region,20-30,SUNNY,5.7
CABBAGE,HUMID,Western Himalayan Region,20-30,WINDY,5.2
CABBAGE,HUMID,Western Himalayan Region,20-30,RAINY,0.2
CABBAGE,HUMID,Western Himalayan Region,30-40,NORMAL,5.1
CABBAGE,HUMID,Western Himalayan Region,30-40,SUNNY,6.6
CABBAGE,HUMID,Western Himalayan Region,30-40,WINDY,6.1
CABBAGE,HUMID,Western Himalayan Region,30-40,RAINY,0.3
CABBAGE,HUMID,Western Himalayan Region,40-50,NORMAL,6.0
CABBAGE,HUMID,Western Himalayan Region,40-50,SUNNY,7.5
CABBAGE,HUMID,Western Himalayan Region,40-50,WINDY,7.0
CABBAGE,HUMID,Western Himalayan Region,40-50,RAINY,0.5
CABBAGE,WET,Western Himalayan Region,10-20,NORMAL,2.16
CABBAGE,WET,Western Himalayan Region,10-20,SUNNY,3.66
CABBAGE,WET,Western Himalayan Region,10-20,WINDY,3.16
CABBAGE,WET,Western Himalayan Region,10-20,RAINY,0.1
CABBAGE,WET,Western Himalayan Region,20-30,NORMAL,3.16
CABBAGE,WET,Western Himalayan Region,20-30,SUNNY,4.66
CABBAGE,WET,Western Himalayan Region,20-30,WINDY,4.16
CABBAGE,WET,Western Himalayan Region,20-30,RAINY,0.1
CABBAGE,WET,Western Himalayan Region,30-40,NORMAL,4.16
CABBAGE,WET,Western Himalayan Region,30-40,SUNNY,5.66
CABBAGE,WET,Western Himalayan Region,30-40,WINDY,5.16
CABBAGE,WET,Western Himalayan Region,30-40,RAINY,0.2
CABBAGE,WET,Western Himalayan Region,40-50,NORMAL,5.16
CABBAGE,WET,Western Himalayan Region,40-50,SUNNY,6.66
CABBAGE,WET,Western Himalayan Region,40-50,WINDY,6.16
CABBAGE,WET,Western Himalayan Region,40-50,RAINY,0.3
POTATO,DRY,Western Himalayan Region,10-20,NORMAL,6.75
POTATO,DRY,Western Himalayan Region,10-20,SUNNY,8.25
POTATO,DRY,Western Himalayan Region,10-20,WINDY,7.75
POTATO,DRY,Western Himalayan Region,10-20,RAINY,0.25
POTATO,DRY,Western Himalayan Region,20-30,NORMAL,7.75
POTATO,DRY,Western Himalayan Region,20-30,SUNNY,9.25
POTATO,DRY,Western Himalayan Region,20-30,WINDY,8.75
POTATO,DRY,Western Himalayan Region,20-30,RAINY,0.8
POTATO,DRY,Western Himalayan Region,30-40,NORMAL,8.8
POTATO,DRY,Western Himalayan Region,30-40,SUNNY,10.3
POTATO,DRY,Western Himalayan Region,30-40,WINDY,9.8
POTATO,DRY,Western Himalayan Region,30-40,RAINY,0.8
POTATO,DRY,Western Himalayan Region,40-50,NORMAL,9.75
POTATO,DRY,Western Himalayan Region,40-50,SUNNY,11.25
POTATO,DRY,Western Himalayan Region,40-50,WINDY,10.75
POTATO,DRY,Western Himalayan Region,40-50,RAINY,1.75
POTATO,HUMID,Western Himalayan Region,10-20,NORMAL,4.6
POTATO,HUMID,Western Himalayan Region,10-20,SUNNY,6.1
POTATO,HUMID,Western Himalayan Region,10-20,WINDY,5.6
POTATO,HUMID,Western Himalayan Region,10-20,RAINY,0.2
POTATO,HUMID,Western Himalayan Region,20-30,NORMAL,5.5
POTATO,HUMID,Western Himalayan Region,20-30,SUNNY,7.0
POTATO,HUMID,Western Himalayan Region,20-30,WINDY,6.5
POTATO,HUMID,Western Himalayan Region,20-30,RAINY,0.3
POTATO,HUMID,Western Himalayan Region,30-40,NORMAL,6.5
POTATO,HUMID,Western Himalayan Region,30-40,SUNNY,8.0
POTATO,HUMID,Western Himalayan Region,30-40,WINDY,7.5
POTATO,HUMID,Western Himalayan Region,30-40,RAINY,0.5
POTATO,HUMID,Western Himalayan Region,40-50,NORMAL,7.5
POTATO,HUMID,Western Himalayan Region,40-50,SUNNY,9.0
POTATO,HUMID,Western Himalayan Region,40-50,WINDY,8.5
POTATO,HUMID,Western Himalayan Region,40-50,RAINY,0.8
POTATO,WET,Western Himalayan Region,10-20,NORMAL,3.345
POTATO,WET,Western Himalayan Region,10-20,SUNNY,4.845
POTATO,WET,Western Himalayan Region,10-20,WINDY,4.345
POTATO,WET,Western Himalayan Region,10-20,RAINY,0.1
POTATO,WET,Western Himalayan Region,20-30,NORMAL,4.4
POTATO,WET,Western Himalayan Region,20-30,SUNNY,5.9
POTATO,WET,Western Himalayan Region,20-30,WINDY,5.4
POTATO,WET,Western Himalayan Region,20-30,RAINY,0.2
POTATO,WET,Western Himalayan Region,30-40,NORMAL,5.54
POTATO,WET,Western Himalayan Region,30-40,SUNNY,7.04
POTATO,WET,Western Himalayan Region,30-40,WINDY,6.54
POTATO,WET,Western Himalayan Region,30-40,RAINY,0.3
POTATO,WET,Western Himalayan Region,40-50,NORMAL,6.52
POTATO,WET,Western Himalayan Region,40-50,SUNNY,8.02
POTATO,WET,Western Himalayan Region,40-50,WINDY,7.52
POTATO,WET,Western Himalayan Region,40-50,RAINY,0.5
RICE,DRY,Western Himalayan Region,10-20,NORMAL,13.5
RICE,DRY,Western Himalayan Region,10-20,SUNNY,15.0
RICE,DRY,Western Himalayan Region,10-20,WINDY,14.5
RICE,DRY,Western Himalayan Region,10-20,RAINY,5.5
RICE,DRY,Western Himalayan Region,20-30,NORMAL,14.5
RICE,DRY,Western Himalayan Region,20-30,SUNNY,16.0
RICE,DRY,Western Himalayan Region,20-30,WINDY,15.5
RICE,DRY,Western Himalayan Region,20-30,RAINY,6.5
RICE,DRY,Western Himalayan Region,30-40,NORMAL,15.5
RICE,DRY,Western Himalayan Region,30-40,SUNNY,17.0
RICE,DRY,Western Himalayan Region,30-40,WINDY,16.5
RICE,DRY,Western Himalayan Region,30-40,RAINY,7.5
RICE,DRY,Western Himalayan Region,40-50,NORMAL,16.5
RICE,DRY,Western Himalayan Region,40-50,SUNNY,18.0
RICE,DRY,Western Himalayan Region,40-50,WINDY,17.5
RICE,DRY,Western Himalayan Region,40-50,RAINY,8.5
RICE,HUMID,Western Himalayan Region,10-20,NORMAL,9.5
RICE,HUMID,Western Himalayan Region,10-20,SUNNY,11.0
RICE,HUMID,Western Himalayan Region,10-20,WINDY,10.5
RICE,HUMID,Western Himalayan Region,10-20,RAINY,1.5
RICE,HUMID,Western Himalayan Region,20-30,NORMAL,10.5
RICE,HUMID,Western Himalayan Region,20-30,SUNNY,12.0
RICE,HUMID,Western Himalayan Region,20-30,WINDY,11.5
RICE,HUMID,Western Himalayan Region,20-30,RAINY,2.5
RICE,HUMID,Western Himalayan Region,30-40,NORMAL,11.5
RICE,HUMID,Western Himalayan Region,30-40,SUNNY,13.0
RICE,HUMID,Western Himalayan Region,30-40,WINDY,12.5
RICE,HUMID,Western Himalayan Region,30-40,RAINY,3.5
RICE,HUMID,Western Himalayan Region,40-50,NORMAL,12.5
RICE,HUMID,Western Himalayan Region,40-50,SUNNY,14.0
RICE,HUMID,Western Himalayan Region,40-50,WINDY,13.5
RICE,HUMID,Western Himalayan Region,40-50,RAINY,4.5
RICE,WET,Western Himalayan Region,10-20,NORMAL,6.5
RICE,WET,Western Himalayan Region,10-20,SUNNY,8.0
RICE,WET,Western Himalayan Region,10-20,WINDY,7.5
RICE,WET,Western Himalayan Region,10-20,RAINY,0.5
RICE,WET,Western Himalayan Region,20-30,NORMAL,7.5
RICE,WET,Western Himalayan Region,20-30,SUNNY,9.0
RICE,WET,Western Himalayan Region,20-30,WINDY,8.5
RICE,WET,Western Himalayan Region,20-30,RAINY,0.8
RICE,WET,Western Himalayan Region,30-40,NORMAL,8.5
RICE,WET,Western Himalayan Region,30-40,SUNNY,10.0
RICE,WET,Western Himalayan Region,30-40,WINDY,9.5
RICE,WET,Western Himalayan Region,30-40,RAINY,0.5
RICE,WET,Western Himalayan Region,40-50,NORMAL,9.5
RICE,WET,Western Himalayan Region,40-50,SUNNY,11.0
RICE,WET,Western Himalayan Region,40-50,WINDY,10.5
RICE,WET,Western Himalayan Region,40-50,RAINY,1.5
MELON,DRY,Western Himalayan Region,10-20,NORMAL,4.86
MELON,DRY,Western Himalayan Region,10-20,SUNNY,6.36
MELON,DRY,Western Himalayan Region,10-20,WINDY,5.86
MELON,DRY,Western Himalayan Region,10-20,RAINY,0.2
MELON,DRY,Western Himalayan Region,20-30,NORMAL,5.86
MELON,DRY,Western Himalayan Region,20-30,SUNNY,7.36
MELON,DRY,Western Himalayan Region,20-30,WINDY,6.86
MELON,DRY,Western Himalayan Region,20-30,RAINY,0.3
MELON,DRY,Western Himalayan Region,30-40,NORMAL,6.86
MELON,DRY,Western Himalayan Region,30-40,SUNNY,8.36
MELON,DRY,Western Himalayan Region,30-40,WINDY,7.86
MELON,DRY,Western Himalayan Region,30-40,RAINY,0.5
MELON,DRY,Western Himalayan Region,40-50,NORMAL,7.86
MELON,DRY,Western Himalayan Region,40-50,SUNNY,9.36
MELON,DRY,Western Himalayan Region,40-50,WINDY,8.86
MELON,DRY,Western Himalayan Region,40-50,RAINY,0.8
MELON,HUMID,Western Himalayan Region,10-20,NORMAL,3.42
MELON,HUMID,Western Himalayan Region,10-20,SUNNY,4.92
MELON,HUMID,Western Himalayan Region,10-20,WINDY,4.42
MELON,HUMID,Western Himalayan Region,10-20,RAINY,0.1
MELON,HUMID,Western Himalayan Region,20-30,NORMAL,4.42
MELON,HUMID,Western Himalayan Region,20-30,SUNNY,5.92
MELON,HUMID,Western Himalayan Region,20-30,WINDY,5.42
MELON,HUMID,Western Himalayan Region,20-30,RAINY,0.2
MELON,HUMID,Western Himalayan Region,30-40,NORMAL,5.42
MELON,HUMID,Western Himalayan Region,30-40,SUNNY,6.92
MELON,HUMID,Western Himalayan Region,30-40,WINDY,6.42
MELON,HUMID,Western Himalayan Region,30-40,RAINY,0.3
MELON,HUMID,Western Himalayan Region,40-50,NORMAL,6.42
MELON,HUMID,Western Himalayan Region,40-50,SUNNY,7.92
MELON,HUMID,Western Himalayan Region,40-50,WINDY,7.42
MELON,HUMID,Western Himalayan Region,40-50,RAINY,0.5
MELON,WET,Western Himalayan Region,10-20,NORMAL,2.34
MELON,WET,Western Himalayan Region,10-20,SUNNY,3.84
MELON,WET,Western Himalayan Region,10-20,WINDY,3.34
MELON,WET,Western Himalayan Region,10-20,RAINY,0.1
MELON,WET,Western Himalayan Region,20-30,NORMAL,3.34
MELON,WET,Western Himalayan Region,20-30,SUNNY,4.84
MELON,WET,Western Himalayan Region,20-30,WINDY,4.34
MELON,WET,Western Himalayan Region,20-30,RAINY,0.1
MELON,WET,Western Himalayan Region,30-40,NORMAL,4.34
MELON,WET,Western Himalayan Region,30-40,SUNNY,5.84
MELON,WET,Western Himalayan Region,30-40,WINDY,5.34
MELON,WET,Western Himalayan Region,30-40,RAINY,0.2
MELON,WET,Western Himalayan Region,40-50,NORMAL,5.34
MELON,WET,Western Himalayan Region,40-50,SUNNY,6.84
MELON,WET,Western Himalayan Region,40-50,WINDY,6.34
MELON,WET,Western Himalayan Region,40-50,RAINY,0.3
MAIZE,DRY,Western Himalayan Region,10-20,NORMAL,4.86
MAIZE,DRY,Western Himalayan Region,10-20,SUNNY,6.36
MAIZE,DRY,Western Himalayan Region,10-20,WINDY,5.86
MAIZE,DRY,Western Himalayan Region,10-20,RAINY,0.2
MAIZE,DRY,Western Himalayan Region,20-30,NORMAL,5.86
MAIZE,DRY,Western Himalayan Region,20-30,SUNNY,7.36
MAIZE,DRY,Western Himalayan Region,20-30,WINDY,6.86
MAIZE,DRY,Western Himalayan Region,20-30,RAINY,0.3
MAIZE,DRY,Western Himalayan Region,30-40,NORMAL,6.86
MAIZE,DRY,Western Himalayan Region,30-40,SUNNY,8.36
MAIZE,DRY,Western Himalayan Region,30-40,WINDY,7.86
MAIZE,DRY,Western Himalayan Region,30-40,RAINY,0.5
MAIZE,DRY,Western Himalayan Region,40-50,NORMAL,7.86
MAIZE,DRY,Western Himalayan Region,40-50,SUNNY,9.36
MAIZE,DRY,Western Himalayan Region,40-50,WINDY,8.86
MAIZE,DRY,Western Himalayan Region,40-50,RAINY,0.8
MAIZE,HUMID,Western Himalayan Region,10-20,NORMAL,3.42
MAIZE,HUMID,Western Himalayan Region,10-20,SUNNY,4.92
MAIZE,HUMID,Western Himalayan Region,10-20,WINDY,4.42
MAIZE,HUMID,Western Himalayan Region,10-20,RAINY,0.1
MAIZE,HUMID,Western Himalayan Region,20-30,NORMAL,4.42
MAIZE,HUMID,Western Himalayan Region,20-30,SUNNY,5.92
MAIZE,HUMID,Western Himalayan Region,20-30,WINDY,5.42
MAIZE,HUMID,Western Himalayan Region,20-30,RAINY,0.2
MAIZE,HUMID,Western Himalayan Region,30-40,NORMAL,5.42
MAIZE,HUMID,Western Himalayan Region,30-40,SUNNY,6.92
MAIZE,HUMID,Western Himalayan Region,30-40,WINDY,6.42
MAIZE,HUMID,Western Himalayan Region,30-40,RAINY,0.3
MAIZE,HUMID,Western Himalayan Region,40-50,NORMAL,6.42
MAIZE,HUMID,Western Himalayan Region,40-50,SUNNY,7.92
MAIZE,HUMID,Western Himalayan Region,40-50,WINDY,7.42
MAIZE,HUMID,Western Himalayan Region,40-50,RAINY,0.5
MAIZE,WET,Western Himalayan Region,10-20,NORMAL,2.34
MAIZE,WET,Western Himalayan Region,10-20,SUNNY,3.84
MAIZE,WET,Western Himalayan Region,10-20,WINDY,3.34
MAIZE,WET,Western Himalayan Region,10-20,RAINY,0.1
MAIZE,WET,Western Himalayan Region,20-30,NORMAL,3.34
MAIZE,WET,Western Himalayan Region,20-30,SUNNY,4.84
MAIZE,WET,Western Himalayan Region,20-30,WINDY,4.34
MAIZE,WET,Western Himalayan Region,20-30,RAINY,0.1
MAIZE,WET,Western Himalayan Region,30-40,NORMAL,4.34
MAIZE,WET,Western Himalayan Region,30-40,SUNNY,5.84
MAIZE,WET,Western Himalayan Region,30-40,WINDY,5.34
MAIZE,WET,Western Himalayan Region,30-40,RAINY,0.2
MAIZE,WET,Western Himalayan Region,40-50,NORMAL,5.34
MAIZE,WET,Western Himalayan Region,40-50,SUNNY,6.84
MAIZE,WET,Western Himalayan Region,40-50,WINDY,6.34
MAIZE,WET,Western Himalayan Region,40-50,RAINY,0.3
CITRUS,DRY,Western Himalayan Region,10-20,NORMAL,4.4
CITRUS,DRY,Western Himalayan Region,10-20,SUNNY,5.9
CITRUS,DRY,Western Himalayan Region,10-20,WINDY,5.5
CITRUS,DRY,Western Himalayan Region,10-20,RAINY,0.2
CITRUS,DRY,Western Himalayan Region,20-30,NORMAL,5.3
CITRUS,DRY,Western Himalayan Region,20-30,SUNNY,6.8
CITRUS,DRY,Western Himalayan Region,20-30,WINDY,6.3
CITRUS,DRY,Western Himalayan Region,20-30,RAINY,0.3
CITRUS,DRY,Western Himalayan Region,30-40,NORMAL,6.2
CITRUS,DRY,Western Himalayan Region,30-40,SUNNY,7.7
CITRUS,DRY,Western Himalayan Region,30-40,WINDY,7.2
CITRUS,DRY,Western Himalayan Region,30-40,RAINY,0.5
CITRUS,DRY,Western Himalayan Region,40-50,NORMAL,7.5
CITRUS,DRY,Western Himalayan Region,40-50,SUNNY,9.0
CITRUS,DRY,Western Himalayan Region,40-50,WINDY,8.5
CITRUS,DRY,Western Himalayan Region,40-50,RAINY,0.8
CITRUS,HUMID,Western Himalayan Region,10-20,NORMAL,3.1
CITRUS,HUMID,Western Himalayan Region,10-20,SUNNY,4.6
CITRUS,HUMID,Western Himalayan Region,10-20,WINDY,4.1
CITRUS,HUMID,Western Himalayan Region,10-20,RAINY,0.1
CITRUS,HUMID,Western Himalayan Region,20-30,NORMAL,4.2
CITRUS,HUMID,Western Himalayan Region,20-30,SUNNY,5.7
CITRUS,HUMID,Western Himalayan Region,20-30,WINDY,5.2
CITRUS,HUMID,Western Himalayan Region,20-30,RAINY,0.2
CITRUS,HUMID,Western Himalayan Region,30-40,NORMAL,5.1
CITRUS,HUMID,Western Himalayan Region,30-40,SUNNY,6.6
CITRUS,HUMID,Western Himalayan Region,30-40,WINDY,6.1
CITRUS,HUMID,Western Himalayan Region,30-40,RAINY,0.3
CITRUS,HUMID,Western Himalayan Region,40-50,NORMAL,6.0
CITRUS,HUMID,Western Himalayan Region,40-50,SUNNY,7.5
CITRUS,HUMID,Western Himalayan Region,40-50,WINDY,7.0
CITRUS,HUMID,Western Himalayan Region,40-50,RAINY,0.5
CITRUS,WET,Western Himalayan Region,10-20,NORMAL,2.16
CITRUS,WET,Western Himalayan Region,10-20,SUNNY,3.66
CITRUS,WET,Western Himalayan Region,10-20,WINDY,3.16
CITRUS,WET,Western Himalayan Region,10-20,RAINY,0.1
CITRUS,WET,Western Himalayan Region,20-30,NORMAL,3.16
CITRUS,WET,Western Himalayan Region,20-30,SUNNY,4.66
CITRUS,WET,Western Himalayan Region,20-30,WINDY,4.16
CITRUS,WET,Western Himalayan Region,20-30,RAINY,0.1
CITRUS,WET,Western Himalayan Region,30-40,NORMAL,4.16
CITRUS,WET,Western Himalayan Region,30-40,SUNNY,5.66
CITRUS,WET,Western Himalayan Region,30-40,WINDY,5.16
CITRUS,WET,Western Himalayan Region,30-40,RAINY,0.2
CITRUS,WET,Western Himalayan Region,40-50,NORMAL,5.16
CITRUS,WET,Western Himalayan Region,40-50,SUNNY,6.66
CITRUS,WET,Western Himalayan Region,40-50,WINDY,6.16
CITRUS,WET,Western Himalayan Region,40-50,RAINY,0.3
BEAN,DRY,Western Himalayan Region,10-20,NORMAL,5.53
BEAN,DRY,Western Himalayan Region,10-20,SUNNY,7.03
BEAN,DRY,Western Himalayan Region,10-20,WINDY,6.5
BEAN,DRY,Western Himalayan Region,10-20,RAINY,0.1
BEAN,DRY,Western Himalayan Region,20-30,NORMAL,6.5
BEAN,DRY,Western Himalayan Region,20-30,SUNNY,8.0
BEAN,DRY,Western Himalayan Region,20-30,WINDY,7.5
BEAN,DRY,Western Himalayan Region,20-30,RAINY,0.5
BEAN,DRY,Western Himalayan Region,30-40,NORMAL,7.6
BEAN,DRY,Western Himalayan Region,30-40,SUNNY,9.0
BEAN,DRY,Western Himalayan Region,30-40,WINDY,8.6
BEAN,DRY,Western Himalayan Region,30-40,RAINY,0.8
BEAN,DRY,Western Himalayan Region,40-50,NORMAL,8.55
BEAN,DRY,Western Himalayan Region,40-50,SUNNY,10.05
BEAN,DRY,Western Himalayan Region,40-50,WINDY,9.5
BEAN,DRY,Western Himalayan Region,40-50,RAINY,0.55
BEAN,HUMID,Western Himalayan Region,10-20,NORMAL,3.9
BEAN,HUMID,Western Himalayan Region,10-20,SUNNY,5.4
BEAN,HUMID,Western Himalayan Region,10-20,WINDY,4.9
BEAN,HUMID,Western Himalayan Region,10-20,RAINY,0.1
BEAN,HUMID,Western Himalayan Region,20-30,NORMAL,4.9
BEAN,HUMID,Western Himalayan Region,20-30,SUNNY,6.4
BEAN,HUMID,Western Himalayan Region,20-30,WINDY,5.9
BEAN,HUMID,Western Himalayan Region,20-30,RAINY,0.1
BEAN,HUMID,Western Himalayan Region,30-40,NORMAL,5.8
BEAN,HUMID,Western Himalayan Region,30-40,SUNNY,7.3
BEAN,HUMID,Western Himalayan Region,30-40,WINDY,6.8
BEAN,HUMID,Western Himalayan Region,30-40,RAINY,0.3
BEAN,HUMID,Western Himalayan Region,40-50,NORMAL,6.7
BEAN,HUMID,Western Himalayan Region,40-50,SUNNY,8.2
BEAN,HUMID,Western Himalayan Region,40-50,WINDY,7.7
BEAN,HUMID,Western Himalayan Region,40-50,RAINY,0.4
BEAN,WET,Western Himalayan Region,10-20,NORMAL,2.6
BEAN,WET,Western Himalayan Region,10-20,SUNNY,4.1
BEAN,WET,Western Himalayan Region,10-20,WINDY,3.6
